Fish,hakai_id,Stock 1,Region 1,Prob 1,Stock 2,Region 2,Prob 2,Stock 3,Region 3,Prob 3,Stock 4,Region 4,Prob 4,Stock 5,Region 5,Prob 5
Hakai_P_A12 (15) unkn 144 1186,U1186,Kuzkwa_Cr,3,0.39,Chilko,3,0.33,Pinchi_Cr,3,0.16,Chilko_south,2,0.06,Tachie,3,0.04
Hakai_P_A12 (15) unkn 144 1187,U1187,Porter_Cr,1,0.59,Kuzkwa_Cr,3,0.20,Pinchi_Cr,3,0.05,Stellako,3,0.04,Narrows,1,0.03
Hakai_P_A12 (15) unkn 144 1206,U1206,Thompson_N,2,0.49,Birkenhead,3,0.34,Chilko,3,0.11,L_Horsefly,3,0.04,Pinchi_Cr,3,0.01
Hakai_P_A12 (15) unkn 144 1207,U1207,Thompson_N,2,0.95,Chilko,3,0.04,Portage_Cr,4,0.01,,,,,,
Hakai_P_A12 (15) unkn 144 1208,U1208,Chilko,3,1.00,Chilko_south,2,0.00,Portage_Cr,4,0.00,L_Shuswap,4,0.00,Middle,3,0.00
Hakai_P_A12 (15) unkn 144 1213,U1213,Gates_Cr,2,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 144 1214,U1214,Chilko,3,0.94,Chilko_south,2,0.05,Mitchell,3,0.00,Kuzkwa_Cr,3,0.00,Tachie,3,0.00
Hakai_P_A12 (15) unkn 144 1215,U1215,Mitchell,3,1.00,Blue_Lead_Ck,3,0.00,Wasko_Cr,3,0.00,,,,,,
Hakai_P_A12 (15) unkn 144 1216,U1216,Chilko,3,0.74,Chilko_south,2,0.25,Pinchi_Cr,3,0.00,Thompson_N,2,0.00,Rossette,1,0.00
Hakai_P_A12 (15) unkn 144 1221,U1221,Gates_Cr,2,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 144 1222,U1222,Chilko,3,0.71,Kuzkwa_Cr,3,0.12,Pinchi_Cr,3,0.06,Chilko_south,2,0.04,Porter_Cr,1,0.02
Hakai_P_A12 (15) unkn 144 1372,U1372,Porter_Cr,1,0.63,Pinchi_Cr,3,0.07,Narrows,1,0.05,Forfar,1,0.05,Stellako,3,0.04
Hakai_P_A12 (15) unkn 144 1373,U1373,Chilko,3,0.44,Thompson_N,2,0.26,Kuzkwa_Cr,3,0.09,Portage_Cr,4,0.09,Eagle_L,4,0.03
Hakai_P_A12 (15) unkn 144 1374,U1374,Porter_Cr,1,0.60,Pinchi_Cr,3,0.15,Kuzkwa_Cr,3,0.10,Stellako,3,0.05,Tachie,3,0.03
Hakai_P_A12 (15) unkn 144 1383,U1383,Birkenhead,3,1.00,Harrison,4,0.00,Thompson_N,2,0.00,,,,,,
Hakai_P_A12 (15) unkn 144 1384,U1384,Portage_Cr,4,0.52,Eagle_L,4,0.15,L_Shuswap,4,0.10,Little,4,0.08,L_Adams,4,0.06
Hakai_P_A12 (15) unkn 144 1391,U1391,Mitchell,3,1.00,Quesnel_Decept,3,0.00,Blue_Lead_Ck,3,0.00,,,,,,
Hakai_P_A12 (15) unkn 145 1111,U1111,Middle,3,0.64,Kuzkwa_Cr,3,0.16,Sandpoint,1,0.06,Porter_Cr,1,0.03,Stellako,3,0.02
Hakai_P_A12 (15) unkn 145 1112,U1112,U_Horsefly,3,0.91,Thompson_N,2,0.07,L_Horsefly,3,0.01,L_Adams,4,0.00,Horsefly,3,0.00
Hakai_P_A12 (15) unkn 145 1113,U1113,Gates_Cr,2,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 145 1114,U1114,U_Horsefly,3,0.97,Chilko,3,0.01,Horsefly,3,0.01,L_Adams,4,0.01,L_Horsefly,3,0.00
Hakai_P_A12 (15) unkn 145 1115,U1115,Chilko,3,1.00,L_Adams,4,0.00,,,,,,,,,
